model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q10,q90
ridge_sgd_l2,L2 one-vs-rest logistic,360,mean_width_inclusive,mean_width_inclusive,play,100,22.594451071720012,0.305476987509606,0.0305476987509606,22.57252726351239,0.402226814636947,22.223862897136076,22.96457001867162
ridge_sgd_l2,L2 one-vs-rest logistic,360,mean_q,mean_q,play,100,0.31561184221081495,0.08797879936562454,0.008797879936562454,0.31492479602181567,0.1134454152581773,0.20210823362808872,0.41809852327414204
ridge_sgd_l2,L2 one-vs-rest logistic,360,crps_game_equal,crps,game_equal,100,0.014184154456034454,0.0002501032499190371,2.5010324991903712e-05,0.014171264473564428,0.00035924412785890737,0.013828674381707332,0.014501606189776296
ridge_sgd_l2,L2 one-vs-rest logistic,360,coverage_game_equal,coverage,game_equal,100,0.9369227943248777,0.004373165857451639,0.00043731658574516395,0.9372279309844441,0.005605913457159217,0.9310349341248293,0.9424910213343354
ridge_sgd_l2,L2 one-vs-rest logistic,360,mean_width_game_equal,mean_width,game_equal,100,21.53983723053233,0.30249384316477407,0.030249384316477407,21.51236119637377,0.38988572940533217,21.145276265322288,21.881069360591002
ridge_sgd_l2,L2 one-vs-rest logistic,360,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,22.53983723053233,0.30249384316477396,0.030249384316477397,22.512361196373767,0.38988572940533217,22.145276265322288,22.881069360591002
lightgbm_multiclass,LightGBM,20,crps,crps,play,100,0.014217837126028292,0.0002840315805237437,2.840315805237437e-05,0.014212829714602063,0.00037037832314560336,0.013838275497151331,0.014551664171730653
lightgbm_multiclass,LightGBM,20,coverage,coverage,play,100,0.91569914211151,0.005497499386399715,0.0005497499386399715,0.915591384831397,0.007756293938964598,0.9084493265734488,0.9228841528434806
lightgbm_multiclass,LightGBM,20,mean_width,mean_width,play,100,16.057834396508646,0.580446678439613,0.0580446678439613,15.99437620307001,0.834033598347629,15.389614461007483,16.774830732940792
lightgbm_multiclass,LightGBM,20,mean_width_inclusive,mean_width_inclusive,play,100,17.057834396508646,0.580446678439613,0.0580446678439613,16.994376203070008,0.8340335983476272,16.389614461007483,17.774830732940792
lightgbm_multiclass,LightGBM,20,mean_q,mean_q,play,100,1.3902117070043485,0.26244347452145894,0.026244347452145895,1.4054612148570373,0.31777563940347453,1.0618405935604942,1.7056709902630856
lightgbm_multiclass,LightGBM,20,crps_game_equal,crps,game_equal,100,0.014174400080238382,0.00027867853825714125,2.7867853825714127e-05,0.014179503571673878,0.0003554560642959701,0.013803986596531787,0.01449905169077106
lightgbm_multiclass,LightGBM,20,coverage_game_equal,coverage,game_equal,100,0.9157627778172039,0.005577516721134788,0.0005577516721134788,0.9158237670908402,0.008045155095179224,0.9080620329189373,0.922740542717245
lightgbm_multiclass,LightGBM,20,mean_width_game_equal,mean_width,game_equal,100,16.079649307362512,0.5824532059658653,0.058245320596586526,15.997797305754059,0.8176961386102377,15.396110696251096,16.82668647238411
lightgbm_multiclass,LightGBM,20,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,17.079649307362516,0.5824532059658651,0.05824532059658651,16.997797305754062,0.8176961386102377,16.396110696251096,17.82668647238411
lightgbm_multiclass,LightGBM,40,crps,crps,play,100,0.014036582267698737,0.00028777389577518424,2.8777389577518424e-05,0.01402440731794617,0.0003772104955443341,0.013657199704176668,0.014401292864285778
lightgbm_multiclass,LightGBM,40,coverage,coverage,play,100,0.9150231681879203,0.004921507741395946,0.0004921507741395946,0.9149194192112025,0.0068059243827642835,0.9080698208639056,0.9213285138924888
lightgbm_multiclass,LightGBM,40,mean_width,mean_width,play,100,15.01899107609301,0.32464011190681724,0.03246401119068172,14.993440648127923,0.4447411007464055,14.61336840149824,15.458847620582233
lightgbm_multiclass,LightGBM,40,mean_width_inclusive,mean_width_inclusive,play,100,16.018991076093013,0.32464011190681735,0.032464011190681735,15.993440648127923,0.4447411007464055,15.61336840149824,16.458847620582233
lightgbm_multiclass,LightGBM,40,mean_q,mean_q,play,100,2.003984859770909,0.215225462070342,0.0215225462070342,1.9985313315926891,0.25977337110070153,1.7421376021965103,2.3207914386178317
lightgbm_multiclass,LightGBM,40,crps_game_equal,crps,game_equal,100,0.013986466762512811,0.00028411288952152604,2.8411288952152603e-05,0.013994324494635151,0.00039055686387613926,0.013598954590876905,0.014344970936321462
lightgbm_multiclass,LightGBM,40,coverage_game_equal,coverage,game_equal,100,0.9154372563579095,0.0049340374720899015,0.0004934037472089901,0.9154779845531877,0.007333871634718547,0.908593879617539,0.9213494869955137
lightgbm_multiclass,LightGBM,40,mean_width_game_equal,mean_width,game_equal,100,15.043029427806095,0.3275961210778191,0.03275961210778191,15.013029385425394,0.47230643855280263,14.628573384832396,15.474489507262538
lightgbm_multiclass,LightGBM,40,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,16.043029427806097,0.32759612107781905,0.0327596121077819,16.013029385425394,0.4723064385527973,15.628573384832396,16.47448950726254
